figure_id,working_title,claim_or_purpose,derived_input,generator,status
F_setup,Problem schematic,"Define the geometry, freestream, nondimensionalisation and domain that Section 3.1 states, so the parameters can be tabulated rather than argued in prose",(schematic; no derived input),scripts/figures/fig_setup.py,COMPLETE
F_dataset,Reference flow and the frequency evidence,"Show the DNS field on the evaluation crop and the probe trace against the fitted single harmonic, evidencing omega_0 and the fully periodic 201-snapshot record",GappyPOD/data/flow_cache.npz,scripts/figures/fig_dataset.py,COMPLETE
F0a,Evaluation regions,Make every later regional result spatially interpretable,derived/a00_geometry.npz,scripts/figures/fig00_evaluation_regions.py,COMPLETE
F0a-probes,Probe locations,Show velocity-probe sections against the F0a region shading,derived/a00_geometry.npz,scripts/figures/fig00a_probe_locations.py,COMPLETE
F0b-taps,Tap layout,Show the nested 8/16/32 tap sets as an angular pattern rather than overlapping same-radius rings,derived/a00_geometry.npz,scripts/figures/fig00b_tap_layout.py,COMPLETE
F1,Representative snapshot attribution,Show the CFD field alongside the analytical prior and both trained reconstructions,derived/a04_snapshot_fields.npz,scripts/figures/fig01_prior_attribution_fields.py,COMPLETE
F2,Regional prior attribution,Show that wall pressure and the Kármán prior supply the wake in different regions and that the network adds no far-core gain,derived/a04_prior_only_metrics.json;derived/a04_prior_attribution_metrics.json,scripts/figures/fig02_prior_attribution.py,COMPLETE
F3,Information comparison,Show that velocity probes close the wake-reconstruction gap while dense observations define a ceiling,derived/a01_information_comparison_metrics.json,scripts/figures/fig03_information_comparison.py,COMPLETE
F04a,Pressure-tap count,Show that additional wall-pressure taps affect near-body error but do not recover the unobserved wake,derived/a02_tap_count_metrics.json,scripts/figures/fig04a_tap_count.py,COMPLETE
F02b,Upstream artefact,Show that the 11.5x upstream amplitude ratio is a near-zero-denominator artefact rather than a large absolute error,derived/a04_v1_absolute_check.json;derived/a04_prior_attribution_metrics.json,scripts/figures/fig02b_upstream_artefact.py,COMPLETE
F04b,Collocation strategy,Show that wake-biased collocation improves the near body but shifts error downstream and does not recover the wake; caption carries the uncontrolled effort gap,derived/a03_collocation_metrics.json,scripts/figures/fig04b_collocation_strategy.py,COMPLETE
F04c,Prior plus collocation,Show that wake-biased grid sampling does not improve the prior-assisted reconstruction and costs most of the learned near-wake contribution,derived/a05_prior_collocation_metrics.json;derived/a04_prior_only_metrics.json,scripts/figures/fig04c_prior_collocation.py,COMPLETE
F04d,Pressure-noise robustness,"Show that far-field v1 invariance under noise is set by the prior rather than the network, while noise erodes the learned near-body contribution",derived/a06_pressure_noise_metrics.json;derived/a04_prior_only_metrics.json,scripts/figures/fig04d_pressure_noise.py,COMPLETE
F_term,Termination anatomy,"Show that 16 of 17 runs terminate on a failed line search misreported as convergence, and that early deaths are cut off mid gradient spike",runs/arms/*/train_log.txt;notebooks/matched_effort/zx/,scripts/termination_census/09_figure_termination_anatomy.py,COMPLETE
F_rerun,Arm 1 re-run breakdown,"Show the original and matched-effort runs bit-identical for 99 iterations then diverging, and the re-run dying in a far larger gradient spike",runs/arms/01_baseline_physics_only/train_log.txt;notebooks/matched_effort/zx/,scripts/termination_census/08_figure_arm1_rerun_breakdown.py,COMPLETE
F05,Information and structure comparison,"Locate which added information or supplied structure moves the far-core reconstruction away from the zero-field baseline; explicitly not a winner ranking",results_master.csv;../gappy_pod_final/results/chapter4_values.csv,scripts/figures/fig05_information_structure.py,COMPLETE
F06,Matched pressure-noise trade-off,"Contrast clean-data accuracy of unregularised Gappy POD with the structural anchoring of the prior-assisted reconstruction at matched pressure-noise levels",results_master.csv;../gappy_pod_final/results/chapter4_values.csv,scripts/figures/fig06_noise_tradeoff.py,COMPLETE
