arm,notebook,sensors,remedy,collocation,tap_noise,freestream_bc,fluct_inlet_bc,adam,status,launch_priority,wall_h,far_core_amp,far_core_phase_corr,lift_amp_err_pct,lift_phase_err_deg,drag_mean_err_pct,question
1,1_baseline_physics_only_K3_T4.ipynb,32 wall taps,none,uniform,0,on,off,kept,DONE,,9.01,0.01895,0.16036,-11.8,-4.8,0.68,reproduce the collapse at k=0..3
2,2_boundary_vorticity_flux_K3_T4.ipynb,32 wall taps,wall vorticity flux,uniform,0,on,on,kept,DONE,,9.01,0.08945,0.10809,-3.4,-6.35,0.31,does the Lighthill wall constraint revive the wake
3,3_karman_prior_K3_T4.ipynb,32 wall taps,Karman prior,uniform,0,on,on,kept,DONE,,9.01,0.80878,0.97159,-6.4,-5.65,-0.11,does the hard-wired street shape revive it
4,4_paper_sparse_probes_T4.ipynb,32 taps + 40 velocity probes,none,uniform,0,on,off,kept,DONE,3,,,,,,,the paper's own sparse case; never run in this project
5,5_dense_reference_T4.ipynb,"5000 scattered u,v,p points",none,uniform,0,on,off,kept,DONE,5,,,,,,,representability ceiling: can the network fit this wake at all
6,6_wake_biased_random_T4.ipynb,32 wall taps,none,wake-biased random,0,on,off,kept,DONE,5,,,,,,,does focused collocation alone rescue the collapse
7,7_wake_biased_grid_T4.ipynb,32 wall taps,none,wake-biased grid,0,on,off,kept,DONE,4,,,,,,,"same question, fixed spacing rather than random"
8,8_taps_08_T4.ipynb,8 wall taps,none,uniform,0,on,off,kept,DONE,5,,,,,,,is tap count load-bearing
9,9_taps_16_T4.ipynb,16 wall taps,none,uniform,0,on,off,kept,DONE,5,,,,,,,second point on the tap-count curve
10,10_prior_wake_biased_grid_T4.ipynb,32 wall taps,Karman prior,wake-biased grid,0,on,off,kept,DONE,6,,,,,,,does focused collocation add to the prior
11,11_prior_noise_01pct_T4.ipynb,32 wall taps,Karman prior,uniform,1% of tap RMS,on,off,kept,DONE,6,,,,,,,"noise robustness, matched to the Gappy POD sweep"
12,12_prior_noise_05pct_T4.ipynb,32 wall taps,Karman prior,uniform,5% of tap RMS,on,off,kept,DONE,6,,,,,,,noise robustness
13,13_prior_noise_10pct_T4.ipynb,32 wall taps,Karman prior,uniform,10% of tap RMS,on,off,kept,DONE,6,,,,,,,noise robustness
14,14_bvf_no_fluct_inlet_T4.ipynb,32 wall taps,wall vorticity flux,uniform,0,on,off,kept,DONE,2,,,,,,,"BVF's honest best number, fluctuation flag off"
15,15_prior_no_fluct_inlet_T4.ipynb,32 wall taps,Karman prior,uniform,0,on,off,kept,DONE,1,,,,,,,the prior without the fluctuation flag - closes the arm-3 gap
16,16_prior_paper_bcs_noadam_T4.ipynb,32 wall taps,Karman prior,uniform,0,off,off,skipped,DONE,,3.46,0.82667,0.9747,-5.0,-5.68,-6.83,"no inlet BC at all, Adam skipped - the decision gate"
